times,speed,dir
2022-08-08 21:30,0.47,21.48
2022-08-08 21:40,0.34,9.66
2022-08-08 21:50,0.538,8.55
2022-08-08 22:00,0.361,9.57
2022-08-08 22:10,0.386,17.35
2022-08-08 22:20,0.515,18.33
2022-08-08 22:30,0.507,16.15
2022-08-08 22:40,0.739,21.92
2022-08-08 22:50,0.614,28.69
2022-08-08 23:00,0.786,21.5
2022-08-08 23:10,0.632,30.82
2022-08-08 23:20,0.633,16.06
2022-08-08 23:30,0.467,19.13
2022-08-08 23:40,0.498,16.69
2022-08-08 23:50,0.422,13.84
2022-08-09 0:00,0.596,32.73
2022-08-09 0:10,0.695,4.87
2022-08-09 0:20,0.711,27.83
2022-08-09 0:30,0.528,11.25
2022-08-09 0:40,0.518,17.63
2022-08-09 0:50,0.737,17.03
2022-08-09 1:00,0.585,21.47
2022-08-09 1:10,0.588,13.87
2022-08-09 1:20,0.514,358.44
2022-08-09 1:30,0.481,359.52
2022-08-09 1:40,0.337,350.43
2022-08-09 1:50,0.305,349.61
2022-08-09 2:00,0.15,350.41
2022-08-09 2:10,0.207,340.25
2022-08-09 2:20,0.289,353.84
2022-08-09 2:30,0.031,31.61
2022-08-09 2:40,0.162,287.21
2022-08-09 2:50,0.086,312.63
2022-08-09 3:00,0.269,259.07
2022-08-09 3:10,0.205,292.68
2022-08-09 3:20,0.208,268.62
2022-08-09 3:30,0.22,266.62
2022-08-09 3:40,0.288,222.61
2022-08-09 3:50,0.207,229.31
2022-08-09 4:00,0.248,194.71
2022-08-09 4:10,0.221,231.42
2022-08-09 4:20,0.257,200.06
2022-08-09 4:30,0.362,226.34
2022-08-09 4:40,0.223,186.97
2022-08-09 4:50,0.284,190.76
2022-08-09 5:00,0.226,204.53
2022-08-09 5:10,0.439,208.9
2022-08-09 5:20,0.3,215.49
2022-08-09 5:30,0.406,201.07
2022-08-09 5:40,0.46,206.34
2022-08-09 5:50,0.436,195.57
2022-08-09 6:00,0.194,227.51
2022-08-09 6:10,0.206,180.28
2022-08-09 6:20,0.357,172.91
2022-08-09 6:30,0.347,187.13
2022-08-09 6:40,0.386,171.66
2022-08-09 6:50,0.419,181.91
2022-08-09 7:00,0.23,183.48
2022-08-09 7:10,0.275,192.62
2022-08-09 7:20,0.322,194.04
2022-08-09 7:30,0.318,168.19
2022-08-09 7:40,0.246,182.79
2022-08-09 7:50,0.166,175.15
2022-08-09 8:00,0.27,126.57
2022-08-09 8:10,0.197,169.15
2022-08-09 8:20,0.176,77.86
2022-08-09 8:30,0.268,165.08
2022-08-09 8:40,0.15,157.2
2022-08-09 8:50,0.031,56.82
2022-08-09 9:00,0.225,116.34
2022-08-09 9:10,0.128,63.63
2022-08-09 9:20,0.16,64.4
2022-08-09 9:30,0.144,4.8
2022-08-09 9:40,0.196,55.18
2022-08-09 9:50,0.352,45.69
2022-08-09 10:00,0.236,90
2022-08-09 10:10,0.273,61.37
2022-08-09 10:20,0.28,56.93
2022-08-09 10:30,0.197,22.4
2022-08-09 10:40,0.305,25.22
2022-08-09 10:50,0.408,20.08
2022-08-09 11:00,0.341,28.74
2022-08-09 11:10,0.358,12.6
2022-08-09 11:20,0.52,6.96
2022-08-09 11:30,0.516,23.53
2022-08-09 11:40,0.345,15.44
2022-08-09 11:50,0.372,8.04
2022-08-09 12:00,0.397,5.21
2022-08-09 12:10,0.31,13.81
2022-08-09 12:20,0.331,358.62
2022-08-09 12:30,0.511,8.32
2022-08-09 12:40,0.315,357.82
2022-08-09 12:50,0.299,16.31
2022-08-09 13:00,0.349,345.57
2022-08-09 13:10,0.485,3.66
2022-08-09 13:20,0.272,7.59
2022-08-09 13:30,0.442,15.2
2022-08-09 13:40,0.248,347.42
2022-08-09 13:50,0.232,352.81
2022-08-09 14:00,0.242,18.06
2022-08-09 14:10,0.243,338.29
2022-08-09 14:20,0.123,27.61
2022-08-09 14:30,0.17,323.87
2022-08-09 14:40,0.181,282.73
2022-08-09 14:50,0.267,271.93
2022-08-09 15:00,0.175,292.47
2022-08-09 15:10,0.144,211.92
2022-08-09 15:20,0.284,223.71
2022-08-09 15:30,0.156,216.14
2022-08-09 15:40,0.286,224.58
2022-08-09 15:50,0.288,216.23
2022-08-09 16:00,0.287,211.31
2022-08-09 16:10,0.399,214.37
2022-08-09 16:20,0.35,199.37
2022-08-09 16:30,0.369,197.85
2022-08-09 16:40,0.345,192.22
2022-08-09 16:50,0.362,193.27
2022-08-09 17:00,0.244,189.93
2022-08-09 17:10,0.373,195.71
2022-08-09 17:20,0.346,177.85
2022-08-09 17:30,0.283,212.74
2022-08-09 17:40,0.396,208.18
2022-08-09 17:50,0.217,171.53
2022-08-09 18:00,0.401,173.12
2022-08-09 18:10,0.314,197.63
2022-08-09 18:20,0.423,192.85
2022-08-09 18:30,0.408,196.66
2022-08-09 18:40,0.245,189.39
2022-08-09 18:50,0.25,196.77
2022-08-09 19:00,0.291,186.51
2022-08-09 19:10,0.231,146.65
2022-08-09 19:20,0.098,29.17
2022-08-09 19:30,0.129,85.13
2022-08-09 19:40,0.204,65.07
2022-08-09 19:50,0.149,47.98
2022-08-09 20:00,0.222,22.18
2022-08-09 20:10,0.108,108.27
2022-08-09 20:20,0.215,138.76
2022-08-09 20:30,0.27,109.04
2022-08-09 20:40,0.208,76.96
2022-08-09 20:50,0.261,80.28
2022-08-09 21:00,0.229,40.22
2022-08-09 21:10,0.272,38.73
2022-08-09 21:20,0.327,44.26
2022-08-09 21:30,0.366,51.66
2022-08-09 21:40,0.537,35.53
2022-08-09 21:50,0.57,16.53
2022-08-09 22:00,0.49,32.75
2022-08-09 22:10,0.423,46.53
2022-08-09 22:20,0.404,10.98
2022-08-09 22:30,0.616,18.76
2022-08-09 22:40,0.431,21.8
2022-08-09 22:50,0.313,22.31
2022-08-09 23:00,0.508,358.99
2022-08-09 23:10,0.517,15.38
2022-08-09 23:20,0.458,350.19
2022-08-09 23:30,0.778,10.59
2022-08-09 23:40,0.887,18.68
2022-08-09 23:50,0.831,27.77
2022-08-10 0:00,0.853,13.56
2022-08-10 0:10,1.045,16.11
2022-08-10 0:20,0.849,18.76
2022-08-10 0:30,0.802,16.97
2022-08-10 0:40,0.777,23.2
2022-08-10 0:50,0.753,18.03
2022-08-10 1:00,0.908,14.16
2022-08-10 1:10,0.707,20.79
2022-08-10 1:20,0.925,12.49
2022-08-10 1:30,0.563,355.52
2022-08-10 1:40,0.587,8.03
2022-08-10 1:50,0.564,353.18
2022-08-10 2:00,0.635,352.21
2022-08-10 2:10,0.449,1.02
2022-08-10 2:20,0.434,0.79
2022-08-10 2:30,0.381,13.05
2022-08-10 2:40,0.39,7.07
2022-08-10 2:50,0.439,344
2022-08-10 3:00,0.314,348.22
2022-08-10 3:10,0.21,349.01
2022-08-10 3:20,0.407,326.31
2022-08-10 3:30,0.306,333.6
2022-08-10 3:40,0.226,329.47
2022-08-10 3:50,0.179,328.98
2022-08-10 4:00,0.159,311.69
2022-08-10 4:10,0.12,304.09
2022-08-10 4:20,0.226,261.08
2022-08-10 4:30,0.225,279.21
2022-08-10 4:40,0.307,264.96
2022-08-10 4:50,0.364,263.54
2022-08-10 5:00,0.381,263.06
2022-08-10 5:10,0.447,234.39
2022-08-10 5:20,0.327,209.07
2022-08-10 5:30,0.271,171.72
2022-08-10 5:40,0.368,182.33
2022-08-10 5:50,0.44,202.89
2022-08-10 6:00,0.569,182.11
